country,currency,supermarket,id,ean,name,brand,category,url,image_links
ES,EUR,EROSKI-MARKETPLACE,25329228,8056379131649,"Peluche 20 cm, edad rec:+3 años, surtido ¿Cuál te llegará? BLUEY",BLUEY,"Papelería, libros y juguetes > Juguetes > Muñecas y peluches",https://supermercado.eroski.es/es/productdetail/25329228-peluche-20-cm-edad-rec3-anos-surtido-cual-te-llegara-bluey/,https://supermercado.eroski.es/images/25329228_2_x.jpg
ES,EUR,EROSKI-MARKETPLACE,25329228,8056379131649,"Peluche 20 cm, edad rec:+3 años, surtido ¿Cuál te llegará? BLUEY",BLUEY,"Papelería, libros y juguetes > Juguetes > Muñecas y peluches",https://supermercado.eroski.es/es/productdetail/25329228-peluche-20-cm-edad-rec3-anos-surtido-cual-te-llegara-bluey/,https://supermercado.eroski.es/images/25329228_3_x.jpg
ES,EUR,EROSKI-MARKETPLACE,mp6664,8447514000379,Mando Inalámbrico PlayStation,KARAWAN,Electrónica > Consolas y videojuegos > Consolas > Otras consolas,https://supermercado.eroski.es/es/productdetail/mp6664-mando-inalambrico-playstation/,https://eroski.eroski-gcp.global.worldline-solutions.com/imagesMarket/MP6664_1_x.webp
ES,EUR,EROSKI-MARKETPLACE,mp6664,8447514000379,Mando Inalámbrico PlayStation,KARAWAN,Electrónica > Consolas y videojuegos > Consolas > Otras consolas,https://supermercado.eroski.es/es/productdetail/mp6664-mando-inalambrico-playstation/,https://eroski.eroski-gcp.global.worldline-solutions.com/imagesMarket/MP6664_2_x.webp
ES,EUR,EROSKI-MARKETPLACE,mp6664,8447514000379,Mando Inalámbrico PlayStation,KARAWAN,Electrónica > Consolas y videojuegos > Consolas > Otras consolas,https://supermercado.eroski.es/es/productdetail/mp6664-mando-inalambrico-playstation/,https://eroski.eroski-gcp.global.worldline-solutions.com/imagesMarket/MP6664_3_x.webp
ES,EUR,EROSKI-MARKETPLACE,mp12744,0045496429591,Nintendo Switch Sports,NINTENDO,Electrónica > Consolas y videojuegos > Juegos > Juegos Nintendo Switch,https://supermercado.eroski.es/es/productdetail/mp12744-nintendo-switch-sports/,https://eroski.eroski-gcp.global.worldline-solutions.com/imagesMarket/MP12744_1_x.webp
ES,EUR,EROSKI-MARKETPLACE,mp12744,0045496429591,Nintendo Switch Sports,NINTENDO,Electrónica > Consolas y videojuegos > Juegos > Juegos Nintendo Switch,https://supermercado.eroski.es/es/productdetail/mp12744-nintendo-switch-sports/,https://eroski.eroski-gcp.global.worldline-solutions.com/imagesMarket/MP12744_2_x.webp
ES,EUR,EROSKI-MARKETPLACE,mp12744,0045496429591,Nintendo Switch Sports,NINTENDO,Electrónica > Consolas y videojuegos > Juegos > Juegos Nintendo Switch,https://supermercado.eroski.es/es/productdetail/mp12744-nintendo-switch-sports/,https://eroski.eroski-gcp.global.worldline-solutions.com/imagesMarket/MP12744_3_x.webp
ES,EUR,EROSKI-MARKETPLACE,mp12744,0045496429591,Nintendo Switch Sports,NINTENDO,Electrónica > Consolas y videojuegos > Juegos > Juegos Nintendo Switch,https://supermercado.eroski.es/es/productdetail/mp12744-nintendo-switch-sports/,https://eroski.eroski-gcp.global.worldline-solutions.com/imagesMarket/MP12744_4_x.webp
ES,EUR,EROSKI-MARKETPLACE,mp12744,0045496429591,Nintendo Switch Sports,NINTENDO,Electrónica > Consolas y videojuegos > Juegos > Juegos Nintendo Switch,https://supermercado.eroski.es/es/productdetail/mp12744-nintendo-switch-sports/,https://eroski.eroski-gcp.global.worldline-solutions.com/imagesMarket/MP12744_5_x.webp
ES,EUR,EROSKI-MARKETPLACE,mp12744,0045496429591,Nintendo Switch Sports,NINTENDO,Electrónica > Consolas y videojuegos > Juegos > Juegos Nintendo Switch,https://supermercado.eroski.es/es/productdetail/mp12744-nintendo-switch-sports/,https://eroski.eroski-gcp.global.worldline-solutions.com/imagesMarket/MP12744_6_x.webp
ES,EUR,EROSKI-MARKETPLACE,25227604,3550190400472,"Plato postre de vidrio 19 cm azul Saphir DURALEX, 1 ud",DURALEX,"Hogar, bricolaje y textil > Menaje > Platos y vajillas",https://supermercado.eroski.es/es/productdetail/25227604-plato-postre-de-vidrio-19-cm-azul-saphir-duralex-1-ud/,
ES,EUR,EROSKI-MARKETPLACE,23056930,5030917288067,"Blizzard Overwatch - Legendary Edition Completa Alemán, Inglés, Chino simplificado",BLIZZARD,Electrónica > Consolas y videojuegos > Juegos > Juegos Nintendo Switch,https://supermercado.eroski.es/es/productdetail/23056930-blizzard-overwatch---legendary-edition-completa-aleman-ingles-chino-simplificado/,https://eroski.eroski-gcp.global.worldline-solutions.com/imagesMarket/23056930_1_x.webp
ES,EUR,EROSKI-MARKETPLACE,23056930,5030917288067,"Blizzard Overwatch - Legendary Edition Completa Alemán, Inglés, Chino simplificado",BLIZZARD,Electrónica > Consolas y videojuegos > Juegos > Juegos Nintendo Switch,https://supermercado.eroski.es/es/productdetail/23056930-blizzard-overwatch---legendary-edition-completa-aleman-ingles-chino-simplificado/,https://eroski.eroski-gcp.global.worldline-solutions.com/imagesMarket/23056930_2_x.webp
